"Step","rnn_grid_2 - Max deterministic score from rollout of 1000 steps","rnn_grid_2 - Max deterministic score from rollout of 1000 steps__MIN","rnn_grid_2 - Max deterministic score from rollout of 1000 steps__MAX","rnn_grid_discrete_half_annealing - Max deterministic score from rollout of 1000 steps","rnn_grid_discrete_half_annealing - Max deterministic score from rollout of 1000 steps__MIN","rnn_grid_discrete_half_annealing - Max deterministic score from rollout of 1000 steps__MAX"
"3424","5","5","5","4","4","4"
"3429","1","1","1","17","17","17"
"3434","2","2","2","5","5","5"
"3439","3","3","3","2","2","2"
"3444","6","6","6","1","1","1"
"3449","4","4","4","2","2","2"
"3454","3","3","3","1","1","1"
"3459","2","2","2","6","6","6"
"3464","2","2","2","2","2","2"
"3469","2","2","2","5","5","5"
"3474","3","3","3","9","9","9"
"3479","1","1","1","4","4","4"
"3484","2","2","2","15","15","15"
"3489","4","4","4","14","14","14"
"3494","10","10","10","11","11","11"
"3499","3","3","3","10","10","10"
"3504","1","1","1","5","5","5"
"3509","1","1","1","9","9","9"
"3514","7","7","7","10","10","10"
"3519","12","12","12","13","13","13"
"3524","3","3","3","13","13","13"
"3529","5","5","5","16","16","16"
"3534","2","2","2","17","17","17"
"3539","1","1","1","4","4","4"
"3544","2","2","2","3","3","3"
"3549","2","2","2","3","3","3"
"3554","3","3","3","3","3","3"
"3559","1","1","1","1","1","1"
"3564","6","6","6","10","10","10"
"3569","1","1","1","1","1","1"
"3574","5","5","5","9","9","9"
"3579","2","2","2","16","16","16"
"3584","1","1","1","2","2","2"
"3589","2","2","2","9","9","9"
"3594","4","4","4","3","3","3"
"3599","11","11","11","2","2","2"
"3604","3","3","3","5","5","5"
"3609","4","4","4","1","1","1"
"3614","2","2","2","2","2","2"
"3619","3","3","3","13","13","13"
"3624","2","2","2","5","5","5"
"3629","2","2","2","7","7","7"
"3634","1","1","1","9","9","9"
"3639","1","1","1","11","11","11"
"3644","3","3","3","7","7","7"
"3649","7","7","7","12","12","12"
"3654","1","1","1","9","9","9"
"3659","2","2","2","2","2","2"
"3664","12","12","12","1","1","1"
"3669","2","2","2","6","6","6"
"3674","5","5","5","15","15","15"
"3679","2","2","2","15","15","15"
"3684","5","5","5","15","15","15"
"3689","2","2","2","14","14","14"
"3694","1","1","1","9","9","9"
"3699","1","1","1","9","9","9"
"3704","2","2","2","5","5","5"
"3709","1","1","1","4","4","4"
"3714","1","1","1","11","11","11"
"3719","3","3","3","1","1","1"
"3724","1","1","1","12","12","12"
"3729","3","3","3","12","12","12"
"3734","3","3","3","1","1","1"
